,H3K4me0,H3K4me1,H3K4me2,H3K4ac1,H3K9me0K14ac0,H3K9me1K14ac0,H3K9me2K14ac0,H3K9me3K14ac0,H3K9ac1K14ac0,H3K9me0K14ac1,H3K9me1K14ac1,H3K9me2K14ac1,H3K9me3K14ac1,H3K9ac1K14ac1,H3K18ac0K23ac0,H3K18ac1K23ac0,H3K18ac0K23ac1,H3K18ac1K23ac1,H3K18ac0K23ub1,H3K27me0K36me0,H3K27me0K36me1,H3K27me0K36me2,H3K27me0K36me3,H3K27me1K36me0,H3K27me1K36me1,H3K27me1K36me2,H3K27me1K36me3,H3K27me2K36me0,H3K27me2K36me1,H3K27me2K36me2,H3K27me3K36me0,H3K27me3K36me1,H3K27ac1K36me0,H3K27ac1K36me1,H3K27ac1K36me2,H3K27ac1K36me3,H3.3K27me0K36me0,H3K56me0,H3K56me1,H3K79me0,H3K79me1,H3K79me2
Dimethylglycine,,1,,,,1,,1,,-1,-1,-1,,,,,-1,,,,,-1,,,,,1,,,,,,,,,,1,,,,,1
Homocysteine,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDMA/ADMA,,1,,,1,1,,1,1,,-1,-1,,,1,,-1,,,,,-1,,,,,1,,1,1,,,,,,,,,,,,1
NMMA,,1,,,1,,,1,1,,,-1,,,1,,,,,,,-1,,,,1,1,,1,1,,,,,,,,,,,,1
Allantoin,,1,,,1,1,,1,1,-1,-1,-1,,,1,,-1,,,,,-1,,,,,1,,,,,,,,,,,,,,,1
Anthranilic acid,,,,,,,,,,-1,-1,-1,,-1,,,-1,,,,1,,,,,,,,,,-1,,,,,,1,,,,,
Kynurenic acid,,1,,,1,1,,1,1,-1,-1,-1,-1,,1,,-1,,,,,-1,,,,,1,,1,1,,,,,,,1,,,,,1
5-adenosylhomocysteine,,-1,,1,,-1,-1,-1,,1,1,1,1,1,-1,,1,1,-1,,,,,,,,,,-1,-1,,,,,,,-1,,,,-1,-1
Carnosine,,1,,,,1,1,1,,-1,-1,,,,1,,-1,,,,,-1,,,,,1,,1,1,,,,,,,1,,,,,
N-carbamoyl-beta-alanine,,,,,,,,,,,-1,-1,-1,,,,-1,,,,,,,,,,,,,,-1,,,,1,,,,,,,
Thiamine,1,1,,,,,,1,1,,,,,1,1,,,1,-1,,,-1,,,1,1,1,,1,1,,,,,,,1,,,,1,
Niacinamide,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betaine,1,,-1,,,,,,,,,,,,,1,,,,,,-1,,,,,,,,1,,,,,,,,,,,,
Choline,,,,,,,,,-1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Alpha-glycerophosphocholine,,,,,,,,1,,,,-1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetylcholine,,,-1,,-1,-1,,,,,,,,,-1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,
Creatine,,,,,,,,,1,,,,,1,,,,1,-1,-1,,-1,-1,-1,,,,,1,1,,,,,,,,,-1,,,
Creatinine,,1,,,1,1,,1,1,,-1,-1,,,1,,-1,,,,,-1,,,,,1,,1,1,,,,,,,,,,,,1
Thyroxine,,,,,1,1,,1,1,,-1,-1,,,1,,-1,,,,,-1,,1,,,1,1,1,,,1,,,,,1,,,,,1
Trimethylamine-N-oxide,,-1,,,,,,-1,-1,,,,,-1,,,,,1,,,1,,,,-1,-1,,-1,,,,,,,,,,,,,-1
Hexoses (HILIC pos),,1,,,,1,1,1,,-1,-1,,,,1,,-1,,,,,-1,,,,,1,,1,1,,,,,,,1,,,,1,1
Adenosine,,,,,,,,,,,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Thymidine,,,,-1,,1,1,1,,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Xanthosine,,,,,1,1,,1,1,,-1,-1,-1,,1,,-1,,,,-1,-1,,,,,1,1,1,,1,1,,-1,,,,,,,1,1
2-deoxyadenosine,,-1,,-1,,,,,1,,,,,1,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,
2-deoxycytidine,,,,,,,,,1,,,,,1,,,,,,-1,,-1,,-1,,,,,,,1,1,,,,,-1,,,,,
cAMP,,-1,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,
Cotinine,-1,-1,,,,,,,,,,,,,,,,,1,,,,,,,-1,,,,,,,,,,,1,,,,,
