,H3K4me0,H3K4me1,H3K4me2,H3K4ac1,H3K9me0K14ac0,H3K9me1K14ac0,H3K9me2K14ac0,H3K9me3K14ac0,H3K9ac1K14ac0,H3K9me0K14ac1,H3K9me1K14ac1,H3K9me2K14ac1,H3K9me3K14ac1,H3K9ac1K14ac1,H3K18ac0K23ac0,H3K18ac1K23ac0,H3K18ac0K23ac1,H3K18ac1K23ac1,H3K18ac0K23ub1,H3K27me0K36me0,H3K27me0K36me1,H3K27me0K36me2,H3K27me0K36me3,H3K27me1K36me0,H3K27me1K36me1,H3K27me1K36me2,H3K27me1K36me3,H3K27me2K36me0,H3K27me2K36me1,H3K27me2K36me2,H3K27me3K36me0,H3K27me3K36me1,H3K27ac1K36me0,H3K27ac1K36me1,H3K27ac1K36me2,H3K27ac1K36me3,H3.3K27me0K36me0,H3K56me0,H3K56me1,H3K79me0,H3K79me1,H3K79me2
Cis/Trans-hydroxyproline,,0.0381,,0.0352,,,,,,,,,,,,,,,,,,0.0307,,,,,,,,,,,,,,0.0267,,,,,0.03,
Ornithine,,,,,,0.0039,,0.0097,,,,,,,0.002,,,,,,,,,,,,,,,,,,,,,,0.0465,,,,,
Citrulline,,,,,0.0196,0.0323,,0.0016,,,,,,,,,,,,,,,,,,,0.0036,0.0228,0.0262,0.0175,,,,,,,,,,,,
Taurine,,,,0.0093,,,,0.0177,,,0.0247,0.0094,,0.0371,0.0347,0.0482,,0.0324,,,,,,,0.0134,,,,,0.0185,,,,,,,0.0337,,,,,
5-HIAA,,,,,,,,,0.0324,,,,,0.0208,,,,,0.0056,,,,,,,,,,0.0093,,,,,,,,0.0212,,,,,
Serotonin,,,,,,,,,,,,,,,,,,,0.0154,,,,0.0129,,,,,,,,,0.0239,,,,,,,,,,
GABA,,0.0064,,,,,0.0095,0.0053,,,,,,,,,,,,,,,,,,,,,,,,0.0027,,,,,,,,,,0.0275
Acetylglycine,,0.006,,,,0.0014,,0.0013,0.012,0.0167,,0.0377,,,,,,,0.0484,,,,,,,0.0058,0.0,,0.0152,0.0138,,,0.0487,,,,,,,,,
Dimethylglycine,,0.0308,,,,0.0064,,0.0002,,0.008,0.0139,0.0463,,,,,0.0039,,,,,0.0027,,,,,0.0039,,,,,,,,,,0.0323,,,,,0.015
Homocysteine,,,0.0234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDMA/ADMA,,0.0066,,,0.0075,0.0172,,0.0,0.0137,,0.0422,0.0273,,,0.0099,,0.0312,,,,,0.0069,,,,,0.012,,0.0182,0.0033,,,,,,,,,,,,0.0301
NMMA,,0.0084,,,0.0153,,,0.0,0.0016,,,0.0262,,,0.0205,,,,,,,0.0079,,,,0.0059,0.0016,,0.0042,0.0005,,,,,,,,,,,,0.0139
Allantoin,,0.0036,,,0.0134,0.002,,0.0,0.0408,0.0061,0.0036,0.0065,,,0.0073,,0.0023,,,,,0.0047,,,,,0.004,,,,,,,,,,,,,,,0.0023
Anthranilic acid,,,,,,,,,,0.0037,0.0002,0.0061,,0.0019,,,0.0038,,,,0.0243,,,,,,,,,,0.0115,,,,,,0.0054,,,,,
Kynurenic acid,,0.0126,,,0.0102,0.0019,,0.0,0.0052,0.0105,0.006,0.002,0.0153,,0.0147,,0.0007,,,,,0.0008,,,,,0.0013,,0.0173,0.0072,,,,,,,0.0344,,,,,0.0455
5-adenosylhomocysteine,,0.0408,,0.0324,,0.0416,0.0026,0.0,,0.0025,0.0001,0.0022,0.0347,0.0131,0.0014,,0.0002,0.036,0.0418,,,,,,,,,,0.01,0.0295,,,,,,,0.0,,,,0.0016,0.0126
Carnosine,,0.0005,,,,0.0024,0.0143,0.0,,0.0084,0.0101,,,,0.0045,,0.001,,,,,0.0016,,,,,0.002,,0.0127,0.0134,,,,,,,0.0084,,,,,
N-carbamoyl-beta-alanine,,,,,,,,,,,0.0271,0.0318,0.0293,,,,0.0316,,,,,,,,,,,,,,0.05,,,,0.0001,,,,,,,
Thiamine,0.001,0.0,,,,,,0.0014,0.01,,,,,0.0272,0.0261,,,0.0361,0.0136,,,0.0032,,,0.0349,0.0012,0.0002,,0.0046,0.0023,,,,,,,0.0445,,,,0.0177,
Niacinamide,,,,,,,,0.0274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betaine,0.0017,,0.0076,,,,,,,,,,,,,0.0449,,,,,,0.0252,,,,,,,,0.035,,,,,,,,,,,,
Choline,,,,,,,,,0.0253,,,,,,0.0037,,,,,,,,,,,,,,,,,,,,,,0.0073,,,,,
Alpha-glycerophosphocholine,,,,,,,,0.0007,,,,0.0183,,,0.0449,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetylcholine,,,0.0058,,0.0459,0.0265,,,,,,,,,0.007,,,,0.0034,,,,,,,,,,,,,,,,,,,,,,,
Creatine,,,,,,,,,0.0463,,,,,0.041,,,,0.0232,0.0048,0.038,,0.0084,0.0199,0.0492,,,,,0.0109,0.004,,,,,,,,,0.0233,,,
Creatinine,,0.0034,,,0.0185,0.0377,,0.0,0.0109,,0.0219,0.0257,,,0.0117,,0.0458,,,,,0.0012,,,,,0.013,,0.0334,0.0083,,,,,,,,,,,,0.0341
Thyroxine,,,,,0.0143,0.0028,,0.0001,0.0029,,0.0141,0.0288,,,0.0065,,0.0091,,,,,0.0181,,0.0461,,,0.0029,0.0361,0.0135,,,0.0215,,,,,0.0145,,,,,0.044
Trimethylamine-N-oxide,,0.0013,,,,,,0.0054,0.0007,,,,,0.0353,,,,,0.0438,,,0.0486,,,,0.0241,0.0009,,0.0216,,,,,,,,,,,,,0.0297
