,H3K4me0,H3K4me1,H3K4me2,H3K4ac1,H3K9me0K14ac0,H3K9me1K14ac0,H3K9me2K14ac0,H3K9me3K14ac0,H3K9ac1K14ac0,H3K9me0K14ac1,H3K9me1K14ac1,H3K9me2K14ac1,H3K9me3K14ac1,H3K9ac1K14ac1,H3K18ac0K23ac0,H3K18ac1K23ac0,H3K18ac0K23ac1,H3K18ac1K23ac1,H3K18ac0K23ub1,H3K27me0K36me0,H3K27me0K36me1,H3K27me0K36me2,H3K27me0K36me3,H3K27me1K36me0,H3K27me1K36me1,H3K27me1K36me2,H3K27me1K36me3,H3K27me2K36me0,H3K27me2K36me1,H3K27me2K36me2,H3K27me3K36me0,H3K27me3K36me1,H3K27ac1K36me0,H3K27ac1K36me1,H3K27ac1K36me2,H3K27ac1K36me3,H3.3K27me0K36me0,H3K56me0,H3K56me1,H3K79me0,H3K79me1,H3K79me2
C16:1 CE,0.028225905163639278,0.07005080390132991,-0.05828996729335781,-0.07779610359996042,0.01828410733257004,0.0985789440783956,0.046920711081154434,0.21007663524025455,0.05207803223795008,-0.1449651231663236,-0.12252042353742623,-0.14700164077072186,-0.07674828648466038,-0.0265846474119604,0.08063524485712015,0.031990645562581396,-0.13095579467558605,-0.016285700108860646,-0.0022833033345473906,0.06766363129826311,0.03314301548263573,-0.0649120509389672,0.09816037755716296,0.08908929682677434,0.07880573984023564,0.05570972042247943,0.17938395918663674,0.04070787949790594,0.09214150870080136,0.08802360723258974,-0.02215707445918985,0.032503371070286495,-0.004476623559840492,0.03701409512289547,0.05582840613796906,0.05089105366235698,0.10991569020881543,0.08240393705061659,-0.03802830061057024,-0.035411492389130626,0.0901889774284035,0.08292808769122272
C16:0 CE,0.044278113872527135,0.08925655517822566,-0.05096704451655459,-0.0811065737589425,0.06065905896851039,0.13581587022342667,0.04243562364864348,0.22088393790757094,0.055117152643218405,-0.12267369584886784,-0.11563447022700293,-0.14076272440151197,-0.07997162986166727,-0.012322915566825979,0.12510169408823166,0.04602994415796417,-0.1396119616846462,-0.013644642308121596,-0.019760975042396454,0.05278748195586088,0.02287580460932023,-0.07354528805861288,0.07233500369669132,0.0687831087754711,0.07804542739915002,0.055013974436269625,0.15368869314661268,0.02630476094224632,0.0983793710349621,0.11132659539971278,-0.025235748767491958,0.045726934925801085,-0.019394432235870784,0.029586972949721364,0.05110603091050782,0.04345241788822127,0.12285053506507736,0.08727916890790463,-0.06776580888915815,-0.05104209504304337,0.1008217774263787,0.0684755940600916
C18:3 CE,0.04159906837199657,0.07215189782505047,-0.02542020125289666,-0.09273121887523951,0.034666406851217926,0.09702769158401058,0.0509960189391483,0.19014596862556085,0.039978404291144784,-0.13711337144576138,-0.12891500197698655,-0.1386731128194665,-0.0965681694280296,-0.033512762936626944,0.09218043078991835,0.025435464365059966,-0.12891969424285354,-0.02943080852572581,0.0015747819855512011,0.08117803410269686,0.04990774996073861,-0.03597740782053339,0.08049373361431927,0.09453203217583069,0.08419077717398894,0.03326975416417195,0.12843778456266855,0.03004303419516774,0.07990147860970802,0.08661651140967375,-0.03901500373170384,0.011815134705914164,0.0016762504696191686,0.04265218896750642,0.060179855651367034,0.04781706868210609,0.14034226219718832,0.06893548287339953,-0.07250973012458144,-0.04139002947362023,0.05669552994704011,0.05607852515910057
C18:2 CE,0.05569126365224787,0.09314879276570463,-0.04689323274906506,-0.08249479372610374,0.04204002556245597,0.12317650442496617,0.06150184649381768,0.2136145899809469,0.03938917764113798,-0.14907700891862435,-0.14978755951753359,-0.15780664774651912,-0.10245389137592491,-0.04145451204892836,0.11368655257982233,0.03698125982888842,-0.15945829579525717,-0.036412393569177595,0.002751065896603411,0.08052847401449167,0.06358445382620274,-0.05569793131720623,0.09166419930620917,0.08966416619199677,0.09938579289040561,0.06755721704716348,0.1616476614677301,0.03012360344292079,0.08096717805065635,0.09139473446259559,-0.05126905999182137,0.006106268284209596,0.0029258294462837166,0.041353593382392334,0.06280193329911968,0.03880883115315942,0.1467359595114748,0.08115528124497388,-0.05981216024250527,-0.050522017739639366,0.09152925692829308,0.07980161537423995
C18:1 CE,0.016251595535546733,0.06567271508423218,-0.05755549712863355,-0.07932359994423883,0.03436723289957816,0.10969761084356196,0.032728298285266945,0.19264621791363484,0.054441481605431954,-0.15003446851872285,-0.1418750946613696,-0.17472100049653752,-0.10841385898527225,-0.02671353737587015,0.07775599966602434,0.02149114260031588,-0.1682144342763233,-0.03193290544380264,-0.020407559209495888,0.046735795600188534,0.0018830135820361938,-0.07640415943269802,0.10090612917695772,0.07604693257062703,0.04507196410451101,0.04701653765207739,0.19139039566043625,0.03746163288142312,0.07281830917821441,0.0782191670496885,-0.006426700622705491,0.051138143383448714,-0.029282293376500994,0.023579829271217233,0.05278902017487009,0.07618003556058675,0.08238664325725845,0.0963248640596895,-0.022733243960719404,-0.05672788956617275,0.10383677527848985,0.09954924238365648
C18:0 CE,-0.014402558675199123,-0.0028232876307269133,-0.04361414678879374,-0.07362352750933797,0.02238488102149216,0.06316507544455398,0.017846184348140053,0.10789744604983614,0.02089895532936351,-0.07955086976220864,-0.053313065509032496,-0.09833491352808302,-0.08408161382017898,-0.0179617282393752,0.03612977093666589,-0.006758081569375055,-0.09299368002221124,-0.02154175215382205,-0.04141144277531789,0.006148729352780319,-0.02648868786059286,-0.04358100841948018,0.06907838397424433,0.05953294629258057,0.04299551657455761,0.027292129194168693,0.13322838365182707,0.05297529330011506,0.08355580461748933,0.08149551631979127,0.01674720293425831,0.05105912877240569,-0.03802840641475289,0.015885537270514387,0.022178412988367924,0.0755873142973897,0.014203652407494147,0.082297244747399,-0.04646696816300709,-0.022978923136245076,0.02929261558391293,0.02484292351214549
C20:5 CE,0.04123062081077562,0.06308835533179097,-0.046658996096773216,-0.08552030797086568,0.06494188177297933,0.10899800139269311,0.07226325225744971,0.22194642586151092,0.03713659982515698,-0.1406600956533294,-0.16230322063656874,-0.17888128803188466,-0.11854644090019294,-0.044084930963999756,0.1280361614135599,0.01418554283889114,-0.17518190680381412,-0.05646361366756539,0.014404326227382606,0.11544525644162464,0.06950023879591594,-0.04877885895894102,0.09480279981098613,0.12794937390319686,0.0841223286853108,0.0335436085044065,0.15015380651765223,0.04754662610058286,0.0756878377395626,0.06852950807886912,-0.045667436235233956,0.006163640990322721,0.00158818273610105,0.029044017429075152,0.051921985816229616,0.05200573746933195,0.15557997420546626,0.07097337810357579,-0.05756752232344261,-0.03303276932890827,0.06809611303770138,0.06498945938775522
C20:4 CE,0.06554874692722064,0.09329459824499618,-0.040402817368617415,-0.08335148249347879,0.07440855282162531,0.14031056646538653,0.07155154796739716,0.21621040759659257,0.05689622394660443,-0.13601337492375928,-0.1457092115634676,-0.16337877392469136,-0.1161833408097936,-0.01864734282467955,0.1323557463927562,0.04703742119282781,-0.15976519557914307,-0.028784032899039223,0.00014096306343632049,0.09096999937515103,0.05836229413175305,-0.0739898812801837,0.08573204736645156,0.09811045326313719,0.08845447431797067,0.051884155476826024,0.16643997649812783,0.033895784846933244,0.08290106754719065,0.09302964319535412,-0.03730963229700792,0.021375089142138055,-0.00443186174486397,0.0394481159834706,0.0651635144440072,0.043800268873151006,0.1549694909048288,0.09810770761344552,-0.04324727616219097,-0.05971533617472543,0.08857180688472051,0.08457960895611542
C20:3 CE,-0.007356609438477468,0.025911503661839405,-0.06003982074317023,-0.11299509589440344,-2.736491408577921e-05,0.07050600577670543,0.06966120794801933,0.18611438028192512,-0.0025027948781745947,-0.1648061864226996,-0.16162464444830993,-0.17304462317725006,-0.11397410251719277,-0.07187143469713951,0.0775310155082559,-0.004769987736364422,-0.17513338011695526,-0.06905094238303261,0.00011100747858275078,0.10149747387934498,0.0542090201179728,-0.03301550991698963,0.09102642670098368,0.1207750981980589,0.07654866430852741,0.05817870320163331,0.14443254679450132,0.04384784195960396,0.06092192678111088,0.059887292678845974,-0.045027969287771204,0.003852949511500367,-0.0231178136256208,0.018519619217931514,0.055165853200293574,0.04528736202167149,0.10185364520341984,0.07823734089521442,-0.06020346805836097,-0.022720117335740468,0.06591593841778416,0.06953142829810684
C22:6 CE,0.040502945180808395,0.04173367366619952,-0.043237014248282524,-0.0656380756298474,0.08196157017027411,0.1023013162995452,0.0684352500591353,0.1969858665997206,0.01729252506393827,-0.10682401001605334,-0.1329244423681973,-0.15742112588559548,-0.11424730483354521,-0.04910827568197754,0.131091590637395,0.022328866053102282,-0.14787571489665224,-0.040373554790959096,0.025999211190923875,0.11806102627553075,0.05509912891878022,-0.02912472088191694,0.11084572211354139,0.14381434233447313,0.05638431271759697,0.03841466327432452,0.14473749171150393,0.07612267602204885,0.047857658005409476,0.028488095157015943,-0.005212937389209525,0.0023085368824639113,0.010465041086909967,0.03024505635139497,0.05772885446488356,0.07162640689649145,0.11738203831023046,0.08624582202790673,-0.034208679727592305,-0.002586808524372423,0.06858350828143063,0.06572043237431766
C46:2 TAG,-0.06888124793877805,-0.026675397477652952,-0.019776492113273574,0.0396328424205056,-0.14193369096257358,-0.10709266523060655,-0.079151028408919,-0.16561614375212028,-0.05649329661900701,0.04855247600583249,0.10321184483826054,0.1142360152769033,0.12352925389909192,-0.0008207929710609637,-0.13413691506463768,0.0018100679281073194,0.07384427444587735,0.059905249113003926,-0.011005557874111182,-0.13317259014009003,-0.08464682618178872,-0.006440450588331764,-0.10491446937466392,-0.13114721792244913,-0.06646147891603098,-0.06776554276090095,-0.11924224420386517,-0.03624115173594334,-0.029627818086538853,-0.048409783861984065,0.0379026726031644,0.03837737049107024,0.016188802252286777,0.00013285933149978559,-0.061082407450534004,-0.025442769107851898,-0.05191016813791555,-0.07114441048846105,0.0793115838600393,-0.006284002917818555,-0.04756508711536322,-0.07533075431966987
C46:1 TAG,-0.06651619384476298,-0.03889723120652086,-0.002725613102137986,0.038751904255159696,-0.10030695429540294,-0.11812496127695539,-0.11042758058832369,-0.18384774891698696,-0.01412840009782633,0.11929450131867798,0.16217209859541715,0.13604427016973694,0.13446065274875973,0.05590490197470556,-0.13038015429883598,0.012107891822691548,0.11568964990302867,0.09764239986229556,-0.02772502798107037,-0.14098107944929603,-0.07454630946765188,0.011303603381442791,-0.08610383946690976,-0.15476764325595602,-0.07624030459328063,-0.04994729460671537,-0.10343956993465912,-0.06403294371385077,-0.0380205636076278,-0.04124524103269324,0.054316106574221944,0.04059707891522363,0.024403536247978565,0.031158764308839813,-0.024253788299926422,-0.0019566013656486256,-0.08795560906589465,-0.048057691388628795,0.06678494675130972,-0.009852620743589028,-0.05825021512292549,-0.09224630799877843
C46:0 TAG,-0.05956192614607298,-0.07343125525444417,0.014035812223738623,0.0569737927177971,-0.05946156770024643,-0.10617551519052984,-0.08093775607812115,-0.14615775586701119,-0.02878699767001957,0.10108901740853521,0.11798821508758388,0.09752514429129591,0.09049249141298765,0.023216067926830886,-0.06845679974555202,0.005331904993017602,0.07208830358740474,0.066927018969286,-0.021540075797716003,-0.1036113842329995,-0.06923742698687589,0.011296225148864938,-0.09732744281636964,-0.12282580326118886,-0.1046257688032911,-0.05945299730081407,-0.13647368935667586,-0.06885317999490786,-0.0681077545186443,-0.04035239014730409,0.06491281804411701,0.050751359565670236,-0.0037843980875275573,0.0019089761130793592,-0.03737915681594362,-0.00618620457988715,-0.061794968018202924,-0.02620372930055607,0.07567504673297494,0.01884803363589638,-0.06471287313241963,-0.07343008421642705
