Reaction ID,Reaction Name,Metabolite,Metabolite ID,Metabolite Name,
EX_dgsn_e,Deoxyguanosine exchange,dgsn_e,dgsn_e,Deoxyguanosine,
EX_dhdascb_e,Dehydroascorbate exchange,dhdascb_e,dhdascb_e,Dehydroascorbate,
EX_dheas_e,Dehydroepiandrosterone sulfate exchange,dheas_e,dheas_e,Dehydroepiandrosterone sulfate,
EX_dhf_e,"7,8-Dihydrofolate exchange",dhf_e,dhf_e,"7,8-Dihydrofolate",
EX_digalsgalside_hs_e,Digalactosylceramidesulfate exchange,digalsgalside_hs_e,digalsgalside_hs_e,Digalactosylceramidesulfate,
EX_din_e,Deoxyinosine exchange,din_e,din_e,Deoxyinosine,
EX_dlnlcg_e,Dihomo-gamma-linolenic acid (n-6) exchange,dlnlcg_e,dlnlcg_e,Dihomo-gamma-linolenic acid (n-6),
EX_dmantipyrine_e,Demethylated antipyrine exchange,dmantipyrine_e,dmantipyrine_e,Dmantipyrine c,
EX_dmhptcrn_e,"2,6 dimethylheptanoyl carnitine exchange",dmhptcrn_e,dmhptcrn_e,"2,6 dimethylheptanoyl carnitine",
EX_dopa_e,Dopamine exchange,dopa_e,dopa_e,Dopamine,
EX_dopasf_e,Dopamine 3-O-sulfate exchange,dopasf_e,dopasf_e,Dopamine 3-O-sulfate,
EX_drib_e,Deoxy D Ribose exchange,drib_e,drib_e,Deoxyribose C5H10O4,
EX_duri_e,Deoxyuridine exchange,duri_e,duri_e,Deoxyuridine,
EX_eaflatoxin_e,"8,9 epxoy aflatoxin B1 exchange",eaflatoxin_e,eaflatoxin_e,"8,9 epxoy aflatoxin B1",
EX_ebastine_e,Ebastine exchange,ebastine_e,ebastine_e,Ebastine c,
EX_ebastineoh_e,Hydroxylated ebastine exchange,ebastineoh_e,ebastineoh_e,Hydroxylated ebastine,
EX_eicostet_e,Eicosatetranoic acid exchange,eicostet_e,eicostet_e,Eicosatetranoic acid,
EX_elaid_e,Elaidic acid exchange,elaid_e,elaid_e,Elaidic acid,
EX_estradiolglc_e,Estradiol glucuronide exchange,estradiolglc_e,estradiolglc_e,17beta-estradiol 3-glucosiduronic acid,
EX_estriolglc_e,16-Glucuronide-estriol exchange,estriolglc_e,estriolglc_e,16-Glucuronide-estriol,
EX_estroneglc_e,Estrone glucuronide exchange,estroneglc_e,estroneglc_e,Estrone 3-glucosiduronic acid,
EX_estrones_e,Estrone 3-sulfate exchange,estrones_e,estrones_e,Estrone 3-sulfate,
EX_etoh_e,Ethanol exchange,etoh_e,etoh_e,Ethanol,
EX_fe2_e,Fe2+ exchange,fe2_e,fe2_e,Fe2+ mitochondria,
EX_fe3_e,Fe3+ exchange,fe3_e,fe3_e,Iron (Fe3+),
EX_fol_e,EX fol LPAREN e RPAREN ,fol_e,fol_e,Folate,
EX_for_e,Formate exchange,for_e,for_e,Formate,
